symbol,company_name,market_cap,percent_change,volume,revenue
BKNG,Booking Holdings Inc.,96.91B,-2.02%,"205,757",18.17B
ABNB,"Airbnb, Inc.",78.61B,-2.52%,"3,835,821",8.71B
RCL,Royal Caribbean Cruises Ltd.,25.04B,0.52%,"4,858,335",10.67B
TCOM,Trip.com Group Limited,22.15B,-1.66%,"2,866,735",3.66B
CCL,Carnival Corporation & plc,20.77B,0.25%,"38,400,392",14.98B
EXPE,"Expedia Group, Inc.",15.80B,-2.37%,"2,574,880",12.08B
NCLH,Norwegian Cruise Line Holdings Ltd.,8.23B,1.68%,"14,168,092",6.14B
TNL,Travel + Leisure Co.,2.93B,-3.10%,"1,301,818",3.64B
MMYT,MakeMyTrip Limited,2.85B,-1.46%,"207,329",593.04M
TRIP,"Tripadvisor, Inc.",2.32B,-3.32%,"2,504,325",1.60B
SABR,Sabre Corporation,1.03B,,"6,013,194",2.69B
MOND,"Mondee Holdings, Inc.",743.33M,-4.22%,"5,814,386",171.76M
LIND,"Lindblad Expeditions Holdings, Inc.",550.62M,-1.80%,"446,613",497.05M
DESP,"Despegar.com, Corp.",484.85M,-0.94%,"174,745",584.27M
TOUR,Tuniu Corporation,201.79M,-1.21%,"117,670",29.89M
YTRA,"Yatra Online, Inc.",131.03M,4.50%,"89,033",46.56M
